crid,gender,age,race
1001107,F,57,BLACK
1001109,M,49,BLACK
1001110,M,49,BLACK
1001111,F,50,BLACK
1001112,F,60,BLACK
1001114,M,51,BLACK
1001115,M,77,WHITE HISPANIC
1001117,M,49,HISPANIC
1001117,F,58,WHITE
1001117,F,67,WHITE
1001118,M,29,BLACK
1001120,M,28,WHITE HISPANIC
1001122,M,53,BLACK
1001123,F,42,BLACK
1001124,M,36,BLACK
1001124,F,64,BLACK
1001125,M,NA,WHITE HISPANIC
1001126,M,32,BLACK
1001127,F,42,BLACK
1001128,M,71,WHITE
1001129,M,37,BLACK
1001130,F,NA,BLACK
1001132,M,NA,BLACK
1001134,M,NA,WHITE
1001135,F,42,BLACK
1001136,M,59,UNKNOWN
1001137,F,29,BLACK
1001140,F,67,BLACK
1001141,M,54,WHITE
1001142,M,55,BLACK
1001146,M,66,WHITE
1001147,F,47,BLACK
1001149,M,42,WHITE HISPANIC
1001150,M,43,BLACK
1001151,M,49,BLACK
1001152,F,41,BLACK
1001153,M,NA,BLACK
1001154,M,50,BLACK
1001155,M,52,BLACK
1001156,M,44,BLACK
1001157,F,36,BLACK
1001158,F,34,BLACK
1001160,M,28,BLACK
1001161,M,46,WHITE
1001162,M,62,BLACK
1001163,M,NA,BLACK
1001164,M,45,WHITE HISPANIC
1001165,M,55,BLACK
1001166,F,30,BLACK
1001167,M,66,WHITE HISPANIC
1001168,M,NA,BLACK
1001170,F,49,BLACK
1001171,M,55,UNKNOWN
1001175,F,49,BLACK
1001176,F,39,WHITE
1001177,F,79,BLACK
1001178,M,NA,UNKNOWN
1001179,M,56,BLACK
1001180,F,29,WHITE HISPANIC
1001182,F,40,WHITE HISPANIC
1001183,M,32,BLACK
1001185,M,46,WHITE
1001186,F,45,BLACK
1001187,M,32,BLACK
1001188,M,45,BLACK
1001189,F,28,BLACK
1001192,F,50,BLACK
1001193,M,48,BLACK
1001195,F,50,BLACK
1001196,M,NA,WHITE HISPANIC
1001196,M,65,WHITE
1001196,M,NA,WHITE HISPANIC
1001197,F,53,BLACK
1001202,M,56,BLACK
1001203,F,62,BLACK
1001205,F,29,BLACK
1001206,M,78,WHITE
1001207,M,50,WHITE HISPANIC
1001208,F,35,WHITE
1001209,M,37,WHITE
1001212,F,41,BLACK HISPANIC
1001214,M,29,BLACK
1001215,M,52,WHITE
1001217,F,37,BLACK
1001218,M,48,BLACK
1001219,F,42,BLACK
1001220,M,31,BLACK
1001222,M,NA,BLACK
1001223,F,30,BLACK
1001224,F,32,BLACK
