CATEGORY,PERS_STAR_NO,PERS_LAST_NME,PERS_FIRST_NME,DESCR
20A,2768,LOPEZ,ANGEILLY,POLICE OFFICER
20A,15562,MUELLER,TODD,POLICE OFFICER
20A,17241,FIGUEROA,EDDIE,POLICE OFFICER
20A,16850,PUCILLO,ROBERT,POLICE OFFICER
20A,13742,BARR,KREIGHTON,POLICE OFFICER
20A,14799,PRYOR,CARLENA,POLICE OFFICER
20A,17902,HICKS,ERROL,POLICE OFFICER
20A,9725,GRUBE,PATRICK,POLICE OFFICER
20A,14093,PERDUE,DENNY,POLICE OFFICER
20A,15740,DERCOLA,MATT,POLICE OFFICER
20A,9003,KAZARNOWICZ,MARCIN,POLICE OFFICER
20A,3625,SCHMID,STEVE,POLICE OFFICER
20A,8813,KEY,MICHAEL,POLICE OFFICER
20A,7148,RENDON JR,ARNOLDO,POLICE OFFICER
20A,11175,JAGLARSKI,STEVEN,POLICE OFFICER
20A,5991,SAVICKAS,CHRIST,POLICE OFFICER
20A,8856,SCHERR,HEATHER,POLICE OFFICER
20A,19463,MC NAUGHTON,MARTIN,POLICE OFFICER
20A,5899,WATSON,DAVID,POLICE OFFICER
20A,11906,POL,PETER,POLICE OFFICER
20A,11909,SANTIAGO,CHISA,POLICE OFFICER
20A,15608,ORTIZ,PEDRO,POLICE OFFICER
20A,12649,IZA,FRANCISCO,POLICE OFFICER
20A,16146,ROBINSON,THOMAS,POLICE OFFICER
20A,17637,CARDENAS,JUAN,POLICE OFFICER
20A,5740,BELCIK,TIMOTHY,POLICE OFFICER
20A,6643,DIBLICH,MATTHEW,POLICE OFFICER
20A,10979,HOMER,JUSTIN,POLICE OFFICER
20A,11256,SANCHEZ,RUBEN,POLICE OFFICER
20A,15445,PRUGER,ROCCO,POLICE OFFICER
20A,14367,BARTEL,JEFF,POLICE OFFICER
20A,11551,BORYS,PAWEL,POLICE OFFICER
20A,14615,SANTIAGO,ANTHONY,POLICE OFFICER
20A,11877,ESCOBEDO,LUIS,POLICE OFFICER
20A,7458,LASKUS,DAVID,POLICE OFFICER
20A,15345,SHRAKE,MICHAEL,POLICE OFFICER
20A,6396,RIVERA,RICKY,POLICE OFFICER
20A,18235,PAYNE,LEON,POLICE OFFICER
20A,10409,DESAI,RISHI,POLICE OFFICER
20A,17244,VAUGHAN,LESTER,POLICE OFFICER
20A,16858,CABRALES,JUAN,POLICE OFFICER
20A,12236,CARROLL,STEVEN,POLICE OFFICER
20A,11288,WALTER,SAJIT,POLICE OFFICER
20A,10545,MURPHY,BRANDON,POLICE OFFICER
20A,19735,ARCHER,STEVEN,POLICE OFFICER
20A,13879,ROMERO,MIGUEL,POLICE OFFICER
20A,11564,MCKENDRY,KEVIN,POLICE OFFICER
20A,16176,FORD,ARTHELIA,POLICE OFFICER
20A,10726,TURNER,DEJUAN,POLICE OFFICER
