CRID,Witness_Gender,Witness_Race
1045906,F,WHITE
1045912,M,WHITE
1045913,F,BLACK
1045914,M,UNKNOWN
1045915,F,WHITE
1045916,M,BLACK
1045917,F,BLACK
1045919,F,WHITE
1045920,F,SPANISH (DO NOT USE)
1045921,F,SPANISH (DO NOT USE)
1045922,M,BLACK
1045923,F,WHITE
1045927,M,BLACK
1045929,F,WHITE HISPANIC
1045930,M,WHITE HISPANIC
1045933,F,WHITE HISPANIC
1045935,F,BLACK
1045937,F,BLACK
1045938,M,BLACK
1045941,F,WHITE HISPANIC
1045942,M,UNKNOWN
1045943,F,BLACK
1045945,M,BLACK
1045946,F,BLACK
1045950,M,WHITE
1045952,M,WHITE
1045953,M,WHITE
1045954,M,BLACK
1045955,M,WHITE HISPANIC
1045957,M,BLACK
1045959,F,WHITE
1045960,M,BLACK
1045961,F,WHITE
1045963,M,BLACK
1045964,M,BLACK
1045970,M,WHITE HISPANIC
1045971,M,WHITE
1045972,F,WHITE HISPANIC
1045981,F,BLACK
1045982,M,BLACK
1045983,M,BLACK
1045984,M,WHITE HISPANIC
1045985,M,BLACK
1045986,F,BLACK
1045988,F,BLACK
1045991,F,BLACK
1045993,F,BLACK
1045994,M,BLACK
1045997,F,BLACK
1045999,M,WHITE HISPANIC
1046001,F,ASIAN/PACIFIC ISLANDER
1046004,F,BLACK
1046005,F,BLACK
1046007,F,WHITE HISPANIC
1046009,M,BLACK
1046010,F,BLACK
1046011,M,UNKNOWN
1046012,M,WHITE
1046013,M,BLACK
1046014,M,BLACK
1046015,F,BLACK
1046020,M,BLACK
1046023,M,BLACK
1046030,F,BLACK
1046032,M,BLACK
1046035,M,BLACK
1046037,M,BLACK HISPANIC
1046039,F,BLACK
1046040,M,WHITE HISPANIC
1046042,F,BLACK
1046043,M,WHITE HISPANIC
1046045,M,UNKNOWN
1046046,M,BLACK
1046049,M,BLACK
1046050,M,BLACK
1046053,F,SPANISH (DO NOT USE)
1046053,F,BLACK
1046054,M,BLACK
1046056,M,BLACK
1046058,M,BLACK
1046060,M,BLACK
1046063,M,BLACK
1046066,F,BLACK
1046071,F,BLACK
1046073,M,WHITE HISPANIC
1046074,F,SPANISH (DO NOT USE)
